Expert,Shortfall,BestEstimateR,MinKnowledge,MaxKnowledge,ConfExpert,CredExpert,Domain,Group,FuncGroup,Subgroup
Annon4,PRESTONIAN,2,1,5,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,PRESTONIAN,20,15,25,90,80,Fungi,Holomycota,Lichenic fungi,
Annon4,PRESTONIAN,30,20,35,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,RAUNKIAERAN,0.1,0,1,80,80,Microorganisms,Procaryota,Archaea,
Annon4,RAUNKIAERAN,0.1,0,0.2,80,80,Microorganisms,Virus,Virus,
Annon4,RAUNKIAERAN,2,0.5,4,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon4,RAUNKIAERAN,2,0.5,5,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,RAUNKIAERAN,40,30,50,90,80,Fungi,Holomycota,Lichenic fungi,
Annon4,RAUNKIAERAN,40,30,50,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,WALLACEAN,0.1,0.05,0.2,80,80,Microorganisms,Virus,Virus,
Annon4,WALLACEAN,5,2.5,7.5,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon4,WALLACEAN,5,1,10,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,WALLACEAN,40,30,50,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,WALLACEAN,50,40,60,90,80,Fungi,Holomycota,Lichenic fungi,
Annon5,DARWINIAN,30,10,50,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon5,DARWINIAN,30,10,50,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,DARWINIAN,30,10,40,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,DARWINIAN,40,20,60,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,DARWINIAN,50,30,60,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,ELTONIAN,40,60,70,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,ELTONIAN,40,10,60,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon5,ELTONIAN,40,10,50,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,ELTONIAN,50,40,60,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,ELTONIAN,50,30,60,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,HUTCHINSONIAN,30,10,40,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,HUTCHINSONIAN,40,50,60,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,HUTCHINSONIAN,40,20,50,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,HUTCHINSONIAN,40,10,60,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon5,HUTCHINSONIAN,50,40,60,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,LINNEAN,50,20,60,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,LINNEAN,60,40,80,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon5,LINNEAN,70,50,80,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,LINNEAN,80,60,90,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,LINNEAN,80,60,90,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,PRESTONIAN,10,40,50,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,PRESTONIAN,20,5,40,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,PRESTONIAN,30,10,40,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,PRESTONIAN,40,10,60,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,PRESTONIAN,40,10,50,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon5,RAUNKIAERAN,20,5,30,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,RAUNKIAERAN,20,5,30,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,RAUNKIAERAN,40,20,60,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,RAUNKIAERAN,40,10,50,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon5,RAUNKIAERAN,50,30,60,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,WALLACEAN,40,60,70,90,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon5,WALLACEAN,40,20,60,70,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon5,WALLACEAN,50,30,70,80,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon5,WALLACEAN,50,30,70,70,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon5,WALLACEAN,60,30,70,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,DARWINIAN,50,20,60,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,DARWINIAN,80,70,100,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,DARWINIAN,80,70,100,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,DARWINIAN,80,70,100,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,DARWINIAN,80,70,100,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon6,ELTONIAN,40,20,50,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,ELTONIAN,60,50,80,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,ELTONIAN,60,50,80,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,ELTONIAN,60,50,70,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,ELTONIAN,60,50,80,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon6,HUTCHINSONIAN,40,20,50,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,HUTCHINSONIAN,60,50,80,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,HUTCHINSONIAN,60,50,70,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon6,HUTCHINSONIAN,70,60,80,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,HUTCHINSONIAN,70,60,80,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,LINNEAN,50,20,60,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,LINNEAN,80,70,100,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,LINNEAN,80,70,100,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,LINNEAN,80,70,100,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,LINNEAN,80,70,100,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon6,PRESTONIAN,40,30,50,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,PRESTONIAN,40,20,50,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,PRESTONIAN,60,50,80,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon6,PRESTONIAN,70,60,80,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,PRESTONIAN,80,70,100,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,RAUNKIAERAN,40,20,50,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,RAUNKIAERAN,50,20,60,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,RAUNKIAERAN,70,60,80,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon6,RAUNKIAERAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,RAUNKIAERAN,80,70,90,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,WALLACEAN,40,20,50,90,80,Animalia,Invertebrata,Parasite,Gastro-Parasitoids
Annon6,WALLACEAN,70,60,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon6,WALLACEAN,70,60,90,90,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon6,WALLACEAN,70,60,80,90,80,Animalia,Invertebrata,Parasite,Ectoparasite
Annon6,WALLACEAN,70,60,90,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon7,DARWINIAN,0,0,0.01,80,80,Microorganisms,Virus,Virus,
Annon7,DARWINIAN,0.03,0.01,0.05,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,DARWINIAN,0.03,0.01,0.05,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,DARWINIAN,0.3,0.1,0.5,90,80,Microorganisms,Procaryota,Archaea,
Annon7,ELTONIAN,0.03,0.01,0.05,90,80,Microorganisms,Procaryota,Archaea,
Annon7,ELTONIAN,0.03,0.01,0.05,80,80,Microorganisms,Virus,Virus,
Annon7,ELTONIAN,0.3,0.1,0.5,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,ELTONIAN,0.3,0.1,0.5,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,HUTCHINSONIAN,0,0,0.1,80,80,Microorganisms,Virus,Virus,
Annon7,HUTCHINSONIAN,0,0,0.01,90,80,Microorganisms,Procaryota,Archaea,
Annon7,HUTCHINSONIAN,0.01,0.01,0.01,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,HUTCHINSONIAN,0.03,0.01,0.05,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,LINNEAN,0.03,0.01,0.05,80,80,Microorganisms,Virus,Virus,
Annon7,LINNEAN,3,1,5,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,LINNEAN,3.5,2,5,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,LINNEAN,15,10,20,90,80,Microorganisms,Procaryota,Archaea,
Annon7,PRESTONIAN,0.02,0.01,0.02,80,80,Microorganisms,Virus,Virus,
Annon7,PRESTONIAN,0.25,0.2,0.3,90,80,Microorganisms,Procaryota,Archaea,
Annon7,PRESTONIAN,0.3,0.1,0.5,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,PRESTONIAN,0.3,0.1,0.5,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,RAUNKIAERAN,0,0,0.01,80,80,Microorganisms,Virus,Virus,
Annon7,RAUNKIAERAN,0.35,0.2,0.5,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,RAUNKIAERAN,2.5,1,5,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,RAUNKIAERAN,15,10,20,90,80,Microorganisms,Procaryota,Archaea,
Annon7,WALLACEAN,0.02,0.01,0.02,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon7,WALLACEAN,0.02,0.01,0.02,90,80,Microorganisms,Procaryota,Bacteria,
Annon7,WALLACEAN,0.02,0.01,0.02,90,80,Microorganisms,Procaryota,Archaea,
Annon7,WALLACEAN,0.02,0.01,0.02,80,80,Microorganisms,Virus,Virus,
Annon8,DARWINIAN,2,1,5,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon8,DARWINIAN,30,10,80,90,80,Plantae,Embryophyta,Bryophytes,
Annon8,DARWINIAN,30,10,80,70,80,Fungi,Holomycota,Lichenic fungi,
Annon8,DARWINIAN,98,90,99,80,80,Plantae,Embryophyta,Vascular,
Annon8,ELTONIAN,2,1,5,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon8,ELTONIAN,5,1,10,90,80,Plantae,Embryophyta,Bryophytes,
Annon8,ELTONIAN,5,1,15,70,80,Fungi,Holomycota,Lichenic fungi,
Annon8,ELTONIAN,50,5,60,80,80,Plantae,Embryophyta,Vascular,
Annon8,HUTCHINSONIAN,2,1,5,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon8,HUTCHINSONIAN,15,5,40,90,80,Plantae,Embryophyta,Bryophytes,
Annon8,HUTCHINSONIAN,15,5,50,70,80,Fungi,Holomycota,Lichenic fungi,
Annon8,HUTCHINSONIAN,80,60,90,80,80,Plantae,Embryophyta,Vascular,
Annon8,LINNEAN,5,5,30,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon8,LINNEAN,70,40,90,70,80,Fungi,Holomycota,Lichenic fungi,
Annon8,LINNEAN,90,70,95,90,80,Plantae,Embryophyta,Bryophytes,
