SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Calcaridorylaimus signatus,Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Calcaridorylaimus,1975,2008,1975,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Free-living,0,0,1,1,0
Caloneis australis,SAR/Protist,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Caloneis,2016,,2016,Zidarova R. Kopalová K. & Van de Vijver B. (2016). Ten new Bacillariophyta species from James Ross Island and the South Shetland Islands (Maritime Antarctic Region). Phytotaxa 272 37–62,Antarctic Endemic,UncertainGlobally,Free-living,0,0,0,0,0
Caloplaca anchon-phoniceon,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,1958,,1958,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,0,0,0,1,0
Caloplaca athallina,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1912,,1912,"The lichens of Hurd Peninsula Livingston Island South Shetland Islands Antarctica. / Søchting Ulrik, Øvstedal D.O., Sancho L.G. I: Bibliotheca Lichenologica Nr. 88 2004 s. 607-658.",Unclassified,Endemic,Unclassified,0,0,0,1,0
Caloplaca buelliae,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,1993,,1993,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,1,1,0
Caloplaca cerina,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,1861,1989,1989,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,0,0,1,1,0
Caloplaca coeruleofrigida,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,2003,,2003,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Endemic,Symbiont,0,0,0,0,0
Caloplaca diphyodes,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,2020,2002,2002,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,0,0,1,1,0
Caloplaca hertelii,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,2004,,2004,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Symbiont,0,0,1,1,0
Caloplaca inordinata,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,1915,,1915,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Endemic,Symbiont,0,0,0,0,0
